"country","total_volunteers","iso","year","gdp_per_capita_nominal"
"Argentina",66825,"ARG",2019,9941.59
"Australia",10,"AUS",2019,54391.307
"Bangladesh",2600,"BGD",2019,2154.227
"Benin",4656,"BEN",2019,1171.015
"Bhutan",26500,"BTN",2019,3547.477
"Brazil",56146,"BRA",2019,9010.512
"Bulgaria",555,"BGR",2019,9909.937
"Burkina Faso",6345,"BFA",2019,765.132
"Cameroon",58824,"CMR",2019,1533.161
"Canada",234,"CAN",2019,46430.975
"China",895058,"CHN",2019,10170.061
"Colombia",10506,"COL",2019,6540.141
"Cote D_ivoire",3000,"CIV",2019,2173.778
"Cyprus",1470,"CYP",2019,29626.37
"ECUADOR",22750,"ECU",2019,6199.031
"France",52,"FRA",2019,41831.481
"Germany",120,"DEU",2019,47629.1
"Ghana",31900,"GHA",2019,2265.705
"Hong Kong",37386,"HKG",2019,48277.982
"India",18392,"IND",2019,2050.163
"Indonesia",4356600,"IDN",2019,4192.768
"Ireland",12,"IRL",2019,81506.342
"Italy",25025,"ITA",2019,33767.005
"Japan",272823,"JPN",2019,40547.967
"Kenya",165360,"KEN",2019,2107.735
"Latvia",1729,"LVA",2019,17828.071
"Luxembourg",42,"LUX",2019,113860.351
"Malaysia",18600,"MYS",2019,11228.293
"Maldives",16,"MDV",2019,15374.179
"Mexico",12864,"MEX",2019,10259.746
"Montenegro",10134,"MNE",2019,NA
"NIGERIA",583392,"NGA",2019,2361.108
"Netherlands",87662,"NLD",2019,53755.165
"Philippines",2666961,"PHL",2019,3512.195
"Portugal",2580,"PRT",2019,23333.408
"Rwanda",1394,"RWA",2019,836.286
"Slovenia",1296,"SVN",2019,25909.807
"South Africa",20440,"ZAF",2019,6582.757
"Spain",35970,"ESP",2019,29798.124
"Sri Lanka",4320,"LKA",2019,4082.694
"Switzerland",86001,"CHE",2019,84481.041
"Taiwan_ Republic of China (ROC)",344498,"TWN",2019,25903.168
"Tanzania",14626,"TZA",2019,1043.939
"Thailand",50490,"THA",2019,7811.477
"Tunisia",288,"TUN",2019,3556.377
"Turkey",30576,"TUR",2019,9144.221
"Ukraine",64866,"UKR",2019,3693.498
"United Arab Emirates",9,"ARE",2019,43981.612
"United Kingdom",210,"GBR",2019,42712.614
"United States of America",431420,"USA",2019,65561.32
"Vietnam",271200,"VNM",2019,3439.102
